date,date_bet,bet_delay,bsp_reconciled,complete,inplay,number_of_winners,number_of_runners,number_of_active_runners,last_match_time,total_matched,total_available,cross_matching,runners_voidable,version,status
2017-04-21T22:04:25.931376,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,0.0,False,False,1625340067,OPEN
2017-04-22T10:04:23.256055,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,0.0,False,False,1625340067,OPEN
2017-04-22T22:04:16.366622,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,0.0,False,False,1625340067,OPEN
2017-04-23T10:04:16.133234,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,0.0,False,False,1625340067,OPEN
2017-04-23T22:04:29.609046,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,0.0,False,False,1625340067,OPEN
2017-04-24T10:04:25.815398,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,0.0,False,False,1625340067,OPEN
2017-04-24T22:04:24.990238,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,0.011771,False,False,1629145084,OPEN
2017-04-25T10:04:26.286538,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,0.011768,False,False,1629145084,OPEN
2017-04-25T22:04:23.733539,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,5.30874,False,False,1629145084,OPEN
2017-04-26T10:04:26.004296,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,40.634904000000006,False,False,1629145084,OPEN
