date,title,odds,identifier,available_to_back_0,available_to_back_1,available_to_back_2,available_to_lay_0,available_to_lay_1,available_to_lay_2,available_to_back_0_size,available_to_back_1_size,available_to_back_2_size,available_to_lay_0_size,available_to_lay_1_size,available_to_lay_2_size
2017-04-20T10:03:28.020519,Nigel Farage,,4562764,,,,1000.0,,,,,,2.38,,
2017-04-20T10:03:28.020519,Vince Cable,,1342095,,,,2.0,,,,,,11.92,,
2017-04-20T10:03:28.020519,Kenneth Clarke,,1138439,,,,2.0,,,,,,11.92,,
2017-04-20T10:03:28.020519,Simon Hughes,,1342088,,,,5.0,,,,,,11.92,,
2017-04-20T10:03:28.020519,Ed Davey,,1342094,,,,,,,,,,,,
2017-04-20T10:03:28.020519,Ed Balls,,1140618,,,,,,,,,,,,
2017-04-20T10:03:28.020519,David Miliband,,2601254,,,,,,,,,,,,
2017-04-20T10:03:28.020519,Nick Clegg,,1342129,,,,10.0,,,,,,11.92,,
2017-04-20T10:03:28.020519,Paul Nuttall,,9469846,5.0,,,,,,11.92,,,,,
2017-04-20T10:03:28.020519,Douglas Carswell,,9469794,,,,,,,,,,,,
2017-04-20T22:03:41.700817,Nigel Farage,4.6,4562764,5.0,2.0,1.55,50.0,1000.0,,59.77,11.95,518.76,14.58,4.79,
2017-04-20T22:03:41.700817,Vince Cable,,1342095,,,,2.0,,,,,,11.95,,
2017-04-20T22:03:41.700817,Kenneth Clarke,,1138439,,,,1.9,1.99,,,,,11.95,53.79,
2017-04-20T22:03:41.700817,Simon Hughes,,1342088,,,,5.0,,,,,,11.95,,
2017-04-20T22:03:41.700817,Ed Davey,,1342094,,,,,,,,,,,,
2017-04-20T22:03:41.700817,Ed Balls,,1140618,13.0,,,,,,5.98,,,,,
2017-04-20T22:03:41.700817,David Miliband,,2601254,2.1,2.0,,,,,59.77,29.88,,,,
2017-04-20T22:03:41.700817,Nick Clegg,,1342129,,,,10.0,,,,,,11.95,,
2017-04-20T22:03:41.700817,Paul Nuttall,,9469846,5.0,,,,,,11.95,,,,,
2017-04-21T10:03:42.072924,Nigel Farage,22.0,4562764,6.0,2.0,1.55,50.0,1000.0,,16.73,11.95,518.63,18.58,3.0,
2017-04-21T10:03:42.072924,Vince Cable,,1342095,1.2,,,1.8,1.9,2.0,23.9,,,11.95,11.95,11.95
2017-04-21T10:03:42.072924,Kenneth Clarke,,1138439,,,,1.9,1.99,,,,,11.95,53.78,
2017-04-21T10:03:42.072924,Simon Hughes,,1342088,,,,4.9,5.0,,,,,11.95,11.95,
2017-04-21T10:03:42.072924,Ed Davey,3.0,1342094,,,,,,,,,,,,
2017-04-21T10:03:42.072924,Ed Balls,5.0,1140618,,,,32.0,,,,,,2.39,,
2017-04-21T10:03:42.072924,David Miliband,,2601254,2.12,2.1,,,,,29.88,59.75,,,,
2017-04-21T10:03:42.072924,Nick Clegg,,1342129,,,,1.5,4.0,10.0,,,,23.9,11.95,11.95
2017-04-21T10:03:42.072924,Paul Nuttall,,9469846,5.0,,,100.0,,,17.93,,,2.39,,
2017-04-21T22:03:29.688404,Nigel Farage,48.0,4562764,28.0,6.0,2.0,100.0,1000.0,,24.37,16.72,11.94,15.23,3.0,
2017-04-21T22:03:29.688404,Vince Cable,1.2,1342095,1.2,,,1.7,1.8,1.9,19.11,,,11.94,11.94,11.94
2017-04-21T22:03:29.688404,Kenneth Clarke,,1138439,,,,1.74,1.75,1.99,,,,11.94,11.94,53.75
2017-04-21T22:03:29.688404,Simon Hughes,,1342088,,,,2.98,3.0,4.9,,,,11.94,11.94,11.94
2017-04-21T22:03:29.688404,Ed Davey,3.0,1342094,,,,,,,,,,,,
2017-04-21T22:03:29.688404,Ed Balls,2.0,1140618,2.0,,,32.0,,,21.5,,,2.39,,
2017-04-21T22:03:29.688404,David Miliband,,2601254,2.12,,,,,,29.86,,,,,
2017-04-21T22:03:29.688404,Nick Clegg,,1342129,,,,1.29,1.3,4.0,,,,11.94,11.94,11.94
2017-04-21T22:03:29.688404,Paul Nuttall,,9469846,5.0,,,100.0,,,17.92,,,2.39,,
2017-04-22T10:03:29.128914,Nigel Farage,48.0,4562764,28.0,6.0,2.0,100.0,1000.0,,24.37,16.72,11.94,15.23,3.0,
2017-04-22T10:03:29.128914,Vince Cable,1.2,1342095,1.2,,,1.7,1.8,1.9,19.11,,,11.94,11.94,11.94
2017-04-22T10:03:29.128914,Kenneth Clarke,,1138439,,,,1.5,1.74,1.75,,,,59.72,11.94,11.94
2017-04-22T10:03:29.128914,Simon Hughes,,1342088,1.1,,,2.98,3.0,4.9,119.44,,,11.94,11.94,11.94
2017-04-22T10:03:29.128914,Ed Davey,3.0,1342094,1.2,,,,,,119.44,,,,,
2017-04-22T10:03:29.128914,Ed Balls,2.0,1140618,,,,32.0,,,,,,2.39,,
2017-04-22T10:03:29.128914,David Miliband,,2601254,2.14,,,,,,105.11,,,,,
2017-04-22T10:03:29.128914,Nick Clegg,,1342129,1.1,,,1.29,1.3,4.0,119.44,,,11.94,11.94,11.94
2017-04-22T10:03:29.128914,Paul Nuttall,,9469846,5.0,,,95.0,100.0,,17.92,,,11.94,2.39,
2017-04-22T22:03:28.056745,Nigel Farage,48.0,4562764,28.0,6.0,2.0,100.0,1000.0,,24.37,16.72,11.94,15.23,3.0,
2017-04-22T22:03:28.056745,Vince Cable,1.2,1342095,1.2,,,1.7,1.8,1.9,25.08,,,11.94,11.94,11.94
2017-04-22T22:03:28.056745,Kenneth Clarke,,1138439,,,,1.74,1.75,1.99,,,,11.94,11.94,53.75
2017-04-22T22:03:28.056745,Simon Hughes,,1342088,,,,2.98,3.0,4.9,,,,11.94,11.94,11.94
2017-04-22T22:03:28.056745,Ed Davey,3.0,1342094,,,,,,,,,,,,
2017-04-22T22:03:28.056745,Ed Balls,2.0,1140618,,,,32.0,,,,,,2.39,,
2017-04-22T22:03:28.056745,David Miliband,2.14,2601254,2.14,,,,,,99.14,,,,,
2017-04-22T22:03:28.056745,Nick Clegg,,1342129,,,,1.29,1.3,4.0,,,,11.94,11.94,11.94
2017-04-22T22:03:28.056745,Paul Nuttall,,9469846,5.0,,,95.0,100.0,,17.92,,,11.94,2.39,
2017-04-23T10:03:28.108815,Nigel Farage,48.0,4562764,28.0,6.0,2.0,100.0,1000.0,,24.36,16.72,11.94,15.22,3.0,
2017-04-23T10:03:28.108815,Vince Cable,1.2,1342095,1.2,,,1.7,1.8,1.9,25.08,,,11.94,11.94,11.94
2017-04-23T10:03:28.108815,Kenneth Clarke,,1138439,,,,1.74,1.75,1.99,,,,11.94,11.94,53.73
2017-04-23T10:03:28.108815,Simon Hughes,,1342088,,,,2.98,3.0,4.9,,,,11.94,11.94,11.94
2017-04-23T10:03:28.108815,Ed Davey,3.0,1342094,,,,,,,,,,,,
2017-04-23T10:03:28.108815,Ed Balls,2.0,1140618,,,,32.0,,,,,,2.39,,
2017-04-23T10:03:28.108815,David Miliband,2.14,2601254,2.14,,,350.0,,,99.11,,,2.39,,
2017-04-23T10:03:28.108815,Nick Clegg,,1342129,,,,1.29,1.3,4.0,,,,11.94,11.94,11.94
2017-04-23T10:03:28.108815,Paul Nuttall,,9469846,5.0,,,95.0,,,17.91,,,11.94,,
2017-04-23T22:03:40.386834,Nigel Farage,28.0,4562764,28.0,6.0,2.0,100.0,1000.0,,12.24,16.48,11.77,17.36,2.95,
2017-04-23T22:03:40.386834,Vince Cable,1.21,1342095,1.2,,,1.7,1.8,1.9,22.36,,,11.77,11.77,11.77
2017-04-23T22:03:40.386834,Kenneth Clarke,,1138439,,,,1.6,1.74,2.5,,,,11.77,11.77,5.89
2017-04-23T22:03:40.386834,Simon Hughes,,1342088,,,,2.5,2.98,4.9,,,,11.77,11.77,11.77
2017-04-23T22:03:40.386834,Ed Davey,3.0,1342094,,,,,,,,,,,,
2017-04-23T22:03:40.386834,Ed Balls,32.0,1140618,,,,,,,,,,,,
2017-04-23T22:03:40.386834,David Miliband,2.14,2601254,3.0,,,350.0,,,117.71,,,4.71,,
2017-04-23T22:03:40.386834,Nick Clegg,,1342129,,,,1.1,1.29,4.0,,,,11.77,11.77,11.77
2017-04-23T22:03:40.386834,Paul Nuttall,,9469846,5.0,,,80.0,85.0,,17.66,,,11.77,5.89,
2017-04-24T10:03:38.165910,Nigel Farage,28.0,4562764,28.0,6.0,2.0,100.0,1000.0,,12.27,16.52,11.8,17.4,2.96,
2017-04-24T10:03:38.165910,Vince Cable,1.21,1342095,1.2,,,1.7,1.8,1.9,22.42,,,11.8,11.8,11.8
2017-04-24T10:03:38.165910,Kenneth Clarke,,1138439,,,,1.6,1.74,2.5,,,,11.8,11.8,5.9
2017-04-24T10:03:38.165910,Simon Hughes,,1342088,,,,2.5,2.98,4.9,,,,15.34,11.8,11.8
2017-04-24T10:03:38.165910,Ed Davey,3.0,1342094,,,,,,,,,,,,
2017-04-24T10:03:38.165910,Ed Balls,32.0,1140618,,,,,,,,,,,,
2017-04-24T10:03:38.165910,David Miliband,2.14,2601254,3.0,,,350.0,,,117.98,,,4.72,,
2017-04-24T10:03:38.165910,Nick Clegg,,1342129,,,,1.1,1.29,4.0,,,,11.8,11.8,11.8
2017-04-24T10:03:38.165910,Paul Nuttall,,9469846,5.0,,,80.0,,,17.7,,,17.7,,
2017-04-24T22:03:36.813274,Nigel Farage,28.0,4562764,28.0,6.0,2.0,100.0,1000.0,,12.24,16.48,11.77,19.72,2.95,
2017-04-24T22:03:36.813274,Vince Cable,1.21,1342095,1.2,,,1.7,1.8,1.9,22.36,,,11.77,11.77,11.77
2017-04-24T22:03:36.813274,Kenneth Clarke,,1138439,1.01,,,1.6,1.74,2.5,1177.1,,,11.77,11.77,5.89
2017-04-24T22:03:36.813274,Simon Hughes,,1342088,1.01,,,2.0,2.5,2.98,1177.1,,,62.39,11.77,11.77
2017-04-24T22:03:36.813274,Ed Davey,3.0,1342094,,,,,,,,,,,,
2017-04-24T22:03:36.813274,Ed Balls,32.0,1140618,1.5,,,1000.0,,,31.78,,,2.35,,
2017-04-24T22:03:36.813274,David Miliband,2.14,2601254,3.0,,,350.0,,,117.71,,,4.71,,
2017-04-24T22:03:36.813274,Nick Clegg,,1342129,1.01,,,1.1,1.29,4.0,1177.1,,,11.77,11.77,11.77
2017-04-24T22:03:36.813274,Paul Nuttall,,9469846,5.0,,,80.0,,,17.66,,,17.66,,
2017-04-25T10:03:36.903908,Nigel Farage,28.0,4562764,28.0,6.0,2.0,100.0,1000.0,,12.24,16.48,11.77,17.36,2.95,
