date,title,odds,identifier,available_to_back_0,available_to_back_1,available_to_back_2,available_to_lay_0,available_to_lay_1,available_to_lay_2,available_to_back_0_size,available_to_back_1_size,available_to_back_2_size,available_to_lay_0_size,available_to_lay_1_size,available_to_lay_2_size
2017-04-28T10:06:06.104825,Conservative,,1111885,,,,,,,,,,,,
2017-04-28T10:06:06.104825,Labour,,1111884,44.0,,,,,,11.83,,,,,
2017-04-28T10:06:06.104825,Liberal Democrat,,2938886,44.0,,,,,,11.83,,,,,
2017-04-28T10:06:06.104825,UKIP,,3614201,85.0,,,,,,11.83,,,,,
2017-04-28T10:06:06.104825,Green,,2938887,100.0,,,,,,11.83,,,,,
2017-04-28T22:06:07.136756,Conservative,,1111885,,,,,,,,,,,,
2017-04-28T22:06:07.136756,Labour,,1111884,44.0,,,,,,11.88,,,,,
2017-04-28T22:06:07.136756,Liberal Democrat,,2938886,44.0,,,,,,11.88,,,,,
2017-04-28T22:06:07.136756,UKIP,,3614201,85.0,,,,,,11.88,,,,,
2017-04-28T22:06:07.136756,Green,,2938887,100.0,,,,,,11.88,,,,,
2017-04-29T10:06:17.523123,Conservative,,1111885,,,,,,,,,,,,
2017-04-29T10:06:17.523123,Labour,,1111884,44.0,,,,,,11.88,,,,,
2017-04-29T10:06:17.523123,Liberal Democrat,,2938886,44.0,,,,,,11.88,,,,,
2017-04-29T10:06:17.523123,UKIP,,3614201,85.0,,,,,,11.88,,,,,
2017-04-29T10:06:17.523123,Green,,2938887,100.0,,,,,,11.88,,,,,
