date,title,odds,identifier,available_to_back_0,available_to_back_1,available_to_back_2,available_to_lay_0,available_to_lay_1,available_to_lay_2,available_to_back_0_size,available_to_back_1_size,available_to_back_2_size,available_to_lay_0_size,available_to_lay_1_size,available_to_lay_2_size
2017-04-28T10:06:06.104825,Conservative,,1111885,,,,,,,,,,,,
2017-04-28T10:06:06.104825,Labour,,1111884,44.0,,,,,,11.83,,,,,
2017-04-28T10:06:06.104825,Liberal Democrat,,2938886,44.0,,,,,,11.83,,,,,
2017-04-28T10:06:06.104825,UKIP,,3614201,85.0,,,,,,11.83,,,,,
2017-04-28T10:06:06.104825,Green,,2938887,100.0,,,,,,11.83,,,,,
2017-04-28T22:06:07.136756,Conservative,,1111885,,,,,,,,,,,,
2017-04-28T22:06:07.136756,Labour,,1111884,44.0,,,,,,11.88,,,,,
2017-04-28T22:06:07.136756,Liberal Democrat,,2938886,44.0,,,,,,11.88,,,,,
2017-04-28T22:06:07.136756,UKIP,,3614201,85.0,,,,,,11.88,,,,,
2017-04-28T22:06:07.136756,Green,,2938887,100.0,,,,,,11.88,,,,,
2017-04-29T10:06:17.523123,Conservative,,1111885,,,,,,,,,,,,
2017-04-29T10:06:17.523123,Labour,,1111884,44.0,,,,,,11.88,,,,,
2017-04-29T10:06:17.523123,Liberal Democrat,,2938886,44.0,,,,,,11.88,,,,,
2017-04-29T10:06:17.523123,UKIP,,3614201,85.0,,,,,,11.88,,,,,
2017-04-29T10:06:17.523123,Green,,2938887,100.0,,,,,,11.88,,,,,
2017-04-29T22:06:05.628436,Conservative,,1111885,,,,,,,,,,,,
2017-04-29T22:06:05.628436,Labour,,1111884,46.0,,,,,,11.84,,,,,
2017-04-29T22:06:05.628436,Liberal Democrat,,2938886,46.0,,,,,,11.84,,,,,
2017-04-29T22:06:05.628436,UKIP,,3614201,90.0,,,,,,11.84,,,,,
2017-04-29T22:06:05.628436,Green,,2938887,100.0,,,,,,11.84,,,,,
2017-04-30T10:06:07.476096,Conservative,,1111885,,,,,,,,,,,,
2017-04-30T10:06:07.476096,Labour,,1111884,46.0,,,,,,11.89,,,,,
2017-04-30T10:06:07.476096,Liberal Democrat,,2938886,46.0,,,,,,11.89,,,,,
2017-04-30T10:06:07.476096,UKIP,,3614201,90.0,,,,,,11.89,,,,,
2017-04-30T10:06:07.476096,Green,,2938887,100.0,,,,,,11.89,,,,,
2017-04-30T22:06:08.195545,Conservative,,1111885,,,,,,,,,,,,
2017-04-30T22:06:08.195545,Labour,,1111884,46.0,,,,,,11.87,,,,,
2017-04-30T22:06:08.195545,Liberal Democrat,,2938886,46.0,,,,,,11.87,,,,,
2017-04-30T22:06:08.195545,UKIP,,3614201,90.0,,,,,,11.87,,,,,
2017-04-30T22:06:08.195545,Green,,2938887,100.0,,,,,,11.87,,,,,
2017-05-01T10:06:10.019671,Conservative,,1111885,,,,,,,,,,,,
2017-05-01T10:06:10.019671,Labour,,1111884,46.0,,,,,,11.87,,,,,
2017-05-01T10:06:10.019671,Liberal Democrat,,2938886,46.0,,,,,,11.87,,,,,
2017-05-01T10:06:10.019671,UKIP,,3614201,90.0,,,,,,11.87,,,,,
2017-05-01T10:06:10.019671,Green,,2938887,100.0,,,,,,11.87,,,,,
2017-05-01T22:06:14.196078,Conservative,,1111885,,,,,,,,,,,,
2017-05-01T22:06:14.196078,Labour,,1111884,46.0,,,,,,11.82,,,,,
2017-05-01T22:06:14.196078,Liberal Democrat,,2938886,46.0,,,,,,11.82,,,,,
2017-05-01T22:06:14.196078,UKIP,,3614201,90.0,,,,,,11.82,,,,,
2017-05-01T22:06:14.196078,Green,,2938887,100.0,,,,,,11.82,,,,,
2017-05-02T10:06:07.932156,Conservative,,1111885,,,,,,,,,,,,
2017-05-02T10:06:07.932156,Labour,,1111884,46.0,,,,,,11.82,,,,,
2017-05-02T10:06:07.932156,Liberal Democrat,,2938886,46.0,,,,,,11.82,,,,,
2017-05-02T10:06:07.932156,UKIP,,3614201,90.0,,,,,,11.82,,,,,
2017-05-02T10:06:07.932156,Green,,2938887,100.0,,,,,,11.82,,,,,
2017-05-02T22:06:06.054300,Conservative,,1111885,,,,,,,,,,,,
2017-05-02T22:06:06.054300,Labour,,1111884,46.0,,,,,,11.84,,,,,
2017-05-02T22:06:06.054300,Liberal Democrat,,2938886,46.0,,,,,,11.84,,,,,
2017-05-02T22:06:06.054300,UKIP,,3614201,90.0,,,,,,11.84,,,,,
2017-05-02T22:06:06.054300,Green,,2938887,100.0,,,,,,11.84,,,,,
2017-05-03T10:06:11.784141,Conservative,,1111885,,,,,,,,,,,,
2017-05-03T10:06:11.784141,Labour,,1111884,46.0,,,,,,11.84,,,,,
2017-05-03T10:06:11.784141,Liberal Democrat,,2938886,46.0,,,,,,11.84,,,,,
2017-05-03T10:06:11.784141,UKIP,,3614201,90.0,,,,,,11.84,,,,,
2017-05-03T10:06:11.784141,Green,,2938887,100.0,,,,,,11.84,,,,,
