date,title,odds,identifier,available_to_back_0,available_to_back_1,available_to_back_2,available_to_lay_0,available_to_lay_1,available_to_lay_2,available_to_back_0_size,available_to_back_1_size,available_to_back_2_size,available_to_lay_0_size,available_to_lay_1_size,available_to_lay_2_size
2018-01-11T23:03:56.798663,Five Star Movement,,16633778,1.2,,,1.9,4.0,,112.46,,,22.49,29.98,
2018-01-11T23:03:56.798663,Forza Italia,,16633801,,,,,,,,,,,,
2018-01-11T23:03:56.798663,Democratic Party,,12987900,,,,,,,,,,,,
2018-01-11T23:03:56.798663,Any Other,,1167491,,,,,,,,,,,,
2018-01-12T11:03:27.364684,Five Star Movement,,16633778,1.2,,,1.82,1.89,4.0,114.59,,,22.47,56.17,30.02
2018-01-12T11:03:27.364684,Forza Italia,,16633801,2.2,2.12,1.33,,,,18.59,50.08,90.28,,,
2018-01-12T11:03:27.364684,Democratic Party,,12987900,2.2,2.12,1.33,,,,18.59,50.08,90.28,,,
2018-01-12T11:03:27.364684,Any Other,,1167491,2.2,2.12,1.33,,,,18.59,50.08,90.28,,,
2018-01-12T23:03:27.062520,Five Star Movement,,16633778,1.2,,,1.73,1.75,1.89,120.4,,,22.5,40.0,56.26
2018-01-12T23:03:27.062520,Forza Italia,,16633801,5.0,2.36,2.32,,,,13.34,13.16,30.17,,,
2018-01-12T23:03:27.062520,Democratic Party,,12987900,3.0,2.36,2.32,6.2,,,20.0,16.5,30.17,2.83,,
2018-01-12T23:03:27.062520,Any Other,,1167491,2.36,2.32,2.12,,,,19.25,30.17,50.16,,,
2018-01-13T11:03:28.721534,Five Star Movement,,16633778,1.2,,,1.73,1.75,1.89,120.4,,,22.5,40.0,56.26
2018-01-13T11:03:28.721534,Forza Italia,,16633801,5.0,2.36,2.32,,,,13.34,13.16,30.17,,,
2018-01-13T11:03:28.721534,Democratic Party,,12987900,3.0,2.36,2.32,6.2,,,20.0,16.5,30.17,2.83,,
2018-01-13T11:03:28.721534,Any Other,,1167491,2.36,2.32,2.12,,,,19.25,30.17,50.16,,,
2018-01-13T23:03:14.369563,Five Star Movement,1.6,16633778,1.2,,,1.7,1.89,2.74,118.2,,,62.51,56.29,18.63
2018-01-13T23:03:14.369563,Forza Italia,,16633801,5.0,2.42,2.12,,,,13.26,40.66,50.18,,,
2018-01-13T23:03:14.369563,Democratic Party,,12987900,3.1,3.0,2.42,3.5,,,22.0,20.0,43.91,2.25,,
2018-01-13T23:03:14.369563,Any Other,,1167491,2.42,2.12,,,,,46.67,50.18,,,,
2018-01-14T11:03:13.972638,Five Star Movement,1.6,16633778,1.2,,,1.69,1.7,1.89,112.57,,,22.51,40.0,56.29
2018-01-14T11:03:13.972638,Forza Italia,,16633801,2.44,2.42,2.12,,,,25.59,28.1,50.18,,,
2018-01-14T11:03:13.972638,Democratic Party,,12987900,3.1,3.0,2.44,,,,22.0,20.0,15.59,,,
2018-01-14T11:03:13.972638,Any Other,,1167491,2.44,2.42,2.12,,,,20.59,28.1,50.18,,,
2018-01-14T23:03:13.574624,Five Star Movement,1.6,16633778,1.2,,,1.6,1.69,1.89,112.6,,,40.01,22.52,56.3
2018-01-14T23:03:13.574624,Forza Italia,,16633801,2.66,2.44,2.12,,,,34.07,15.6,50.19,,,
2018-01-14T23:03:13.574624,Democratic Party,,12987900,3.0,2.66,2.44,,,,20.01,24.07,15.6,,,
2018-01-14T23:03:13.574624,Any Other,,1167491,2.66,2.44,2.12,,,,29.07,15.6,50.19,,,
2018-01-15T11:03:13.376486,Five Star Movement,1.6,16633778,1.2,,,1.6,1.69,1.89,112.41,,,37.5,22.48,56.21
2018-01-15T11:03:13.376486,Forza Italia,,16633801,5.0,2.66,2.44,,,,12.24,22.55,15.57,,,
2018-01-15T11:03:13.376486,Democratic Party,,12987900,3.0,2.66,2.44,,,,19.98,22.55,15.57,,,
2018-01-15T11:03:13.376486,Any Other,,1167491,2.66,2.44,2.12,,,,27.55,15.57,50.11,,,
2018-01-15T23:03:15.210583,Five Star Movement,1.6,16633778,1.2,,,1.89,2.06,2.82,112.49,,,62.27,16.38,3.99
2018-01-15T23:03:15.210583,Forza Italia,,16633801,5.0,2.12,,,,,12.25,53.76,,,,
2018-01-15T23:03:15.210583,Democratic Party,,12987900,3.0,2.12,,,,,20.0,53.76,,,,
2018-01-15T23:03:15.210583,Any Other,,1167491,2.12,,,,,,58.77,,,,,
2018-01-16T11:03:16.445208,Five Star Movement,1.6,16633778,1.2,,,1.6,1.89,2.06,112.58,,,28.54,56.29,16.4
2018-01-16T11:03:16.445208,Forza Italia,,16633801,5.0,2.66,2.12,,,,12.26,17.16,50.18,,,
2018-01-16T11:03:16.445208,Democratic Party,,12987900,3.0,2.66,2.12,,,,20.01,17.16,50.18,,,
2018-01-16T11:03:16.445208,Any Other,,1167491,2.66,2.12,,,,,22.17,50.18,,,,
2018-01-16T23:03:22.330792,Five Star Movement,1.6,16633778,1.3,,,1.6,1.89,2.82,112.49,,,28.52,56.25,15.96
2018-01-16T23:03:22.330792,Forza Italia,,16633801,2.66,2.12,,,,,27.15,50.14,,,,
2018-01-16T23:03:22.330792,Democratic Party,,12987900,3.0,2.66,2.12,,,,20.0,17.15,50.14,,,
2018-01-16T23:03:22.330792,Any Other,,1167491,2.66,2.12,,,,,22.15,50.14,,,,
2018-01-17T11:03:14.489729,Five Star Movement,1.6,16633778,1.3,,,1.6,1.89,2.82,112.77,,,28.53,56.39,15.96
2018-01-17T11:03:14.489729,Forza Italia,,16633801,2.66,2.12,,,,,27.16,50.27,,,,
2018-01-17T11:03:14.489729,Democratic Party,,12987900,3.0,2.66,2.12,,,,20.01,17.16,50.27,,,
2018-01-17T11:03:14.489729,Any Other,,1167491,2.66,2.12,,,,,22.16,50.27,,,,
